Year,Ruling Party ,Event,News Headline,News Body,Source Link,Date,News Corpora Name,Gov-Leaning,Gov-Critique,Neutral
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2023,,বিএনপি ও আওয়ামী লীগ ‘গ্র্যান্ড র‍্যালি’,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2024,,দ্বাদশ সংসদ নির্বাচন (বয়কটসহ),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2024,,পেনশন সংস্কার বিল,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2024,,সুপ্রিম কোর্ট ৫৬% কোটা পুনর্বহাল,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2024,,কোটা আন্দোলন: পুলিশ গুলিতে ২০০+ নিহত,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2024,,ইন্টারনেট বন্ধ ও কারফিউ,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2024,,সরকারি চাকরিতে কোটা কমিয়ে ৫%,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2024,,দেশব্যাপী ‘মার্চ অন ঢাকা’ ডাকা,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1994,BNP,মাগুরা উপ-নির্বাচনে কারচুপি,,,,,,,,
1996,,১৯৯৬ একতরফা নির্বাচন,,,,,,,,
2004,,২০০৪ সালের ঢাকা গ্রেনেড হামলা,,,,,,,,
2004,,২০০৪ সালে চট্টগ্রামে অস্ত্র ও গোলাবারুদ উদ্ধার,,,,,,,,
